"Dc_Dist","Psa","Dispatch_Date_Time","Dc_Key","Location_Block","UCR_General","Text_General_Code","Police_Districts","Lon","Lat"
26,"S","2007-11-05 09:25:00",200726078981,"2500 BLOCK GERMANTOWN AV",1400,"Vandalism/Criminal Mischief",19,-75.147953,39.990551
19,"3","2012-06-16 08:12:00",201219048242,"1600 BLOCK N 59TH ST",200,"Rape",15,-75.238696,39.977056
6,"3","2013-11-01 05:12:00",201306057432,"1000 BLOCK PINE ST 303",1400,"Vandalism/Criminal Mischief",5,-75.158255,39.944768
26,"3","2011-06-10 20:38:00",201126032240,"SUGARHOUSE CASINO @ 1001 N DELAWARE AVE",2600,"All Other Offenses",19,-75.134133,39.964607
8,"3","2016-09-24 09:53:00",201608035865,"11000 BLOCK KNIGHTS RD",500,"Burglary Non-Residential",7,-74.974618,40.083531
26,"O","2006-08-18 15:22:00",200626061317,"2300 BLOCK N REESE ST",400,"Aggravated Assault No Firearm",19,-75.142235,39.98616
19,"2","2012-07-14 03:15:00",201219057120,"300 BLOCK N REDFIELD ST",800,"Other Assaults",15,-75.238134,39.967655
18,"2","2011-01-09 14:30:00",201118001636,"5600 BLOCK CHRISTIAN ST",600,"Theft from Vehicle",14,-75.237454,39.948735
9,"I","2007-02-16 09:43:00",200709007687,"N 22ND ST /ARCH ST",1400,"Vandalism/Criminal Mischief",8,-75.176238,39.956042
22,"C","2006-10-22 01:19:00",200622065035,"2000 BLOCK N 15TH ST",400,"Aggravated Assault No Firearm",16,-75.158621,39.983449
15,"K","2009-02-26 17:04:00",200915019892,"6300 BLOCK BATTERSBY ST",800,"Other Assaults",11,-75.062434,40.029767
19,"X","2006-05-23 21:14:00",200619039276,"5600 BLOCK HAVERFORD AV",700,"Recovered Stolen Motor Vehicle",15,-75.233344,39.967846
12,"R","2007-08-22 22:04:00",200712074850,"8400 BLOCK BARTRAM AV",1400,"Vandalism/Criminal Mischief",9,-75.242009,39.891844
25,"3","2014-04-08 13:48:00",201425026119,"2800 BLOCK HOPE ST",1800,"Narcotic / Drug Law Violations",18,-75.131145,39.9926
9,"2","2015-09-15 15:23:00",201509039998,"1500 BLOCK ARCH ST",2600,"All Other Offenses",8,-75.164877,39.954668
12,"1","2015-11-17 10:35:00",201512090892,"7500 BLOCK HOLSTEIN AVE",700,"Recovered Stolen Motor Vehicle",9,-75.229902,39.900717
15,"F","2009-02-03 02:52:00",200915011210,"4600 BLOCK MULBERRY ST",1800,"Narcotic / Drug Law Violations",11,-75.081715,40.012783
8,"3","2012-03-22 08:23:00",201208011468,"12600 BLOCK DUNKS FERRY RD",1400,"Vandalism/Criminal Mischief",7,-74.973198,40.101485
35,"3","2012-09-26 20:17:00",201235075659,"6200 BLOCK N 16TH ST",400,"Aggravated Assault No Firearm",20,-75.145855,40.049006
9,"2","2011-04-27 11:20:00",201109018673,"1500 BLOCK JOHN F KENNEDY BLVD",2600,"All Other Offenses",8,-75.165834,39.953754
9,"1","2014-01-08 17:39:00",201409000897,"100 BLOCK S 20TH ST",1400,"Vandalism/Criminal Mischief",8,-75.173549,39.952057
25,"S","2008-10-28 19:31:00",200825120264,"3400 BLOCK MASCHER ST",800,"Other Assaults",18,-75.130475,40.002786
24,"2","2015-09-08 22:25:00",201524086993,"2900 BLOCK C ST",2600,"All Other Offenses",17,-75.124235,39.993246
35,"2","2014-11-29 03:40:00",201435098221,"5200 BLOCK N HOWARD ST",800,"Other Assaults",20,-75.123901,40.029472
39,"3","2014-04-16 23:44:00",201439025900,"3000 BLOCK FOX ST",300,"Robbery No Firearm",21,-75.166575,40.000398
9,"O","2008-09-26 12:44:00",200809050893,"2700 BLOCK PARRISH ST",500,"Burglary Residential",8,-75.181692,39.971661
24,"H","2006-06-23 16:00:00",200624057597,"2000 BLOCK E ALLEGHENY AV",1400,"Vandalism/Criminal Mischief",17,-75.110909,39.993772
22,"1","2010-03-31 08:24:00",201022027044,"2500 BLOCK N GARNET ST",600,"Theft from Vehicle",16,-75.163673,39.992044
12,"I","2008-09-05 09:58:00",200812079052,"6100 BLOCK WHEELER ST",1400,"Vandalism/Criminal Mischief",9,-75.227175,39.925754
35,"A","2006-10-13 15:41:00",200635088485,"100 BLOCK W DUNCANNON AVE",800,"Other Assaults",20,-75.122761,40.029122
35,"2","2011-03-25 13:04:00",201135021293,"100 BLOCK W DUNCANNON AVE",800,"Other Assaults",20,-75.122761,40.029122
1,"C","2007-08-20 17:17:00",200701026903,"S 25TH ST & MC KEAN ST",700,"Recovered Stolen Motor Vehicle",1,-75.18759,39.927935
16,"1","2015-10-06 23:08:00",201516045157,"N 33RD ST / HAVERFORD AV",2600,"All Other Offenses",12,-75.190168,39.964225
25,"2","2014-03-26 09:05:00",201425021949,"3900 BLOCK WHITAKER AVE",2600,"All Other Offenses",18,-75.122452,40.008702
7,"2","2016-07-30 21:11:00",201607021471,"9200 BLOCK E ROOSEVELT BLVD",600,"Theft from Vehicle",6,-75.031224,40.078686
14,"1","2013-10-11 19:07:00",201314076737,"7900 BLOCK RUGBY ST",700,"Recovered Stolen Motor Vehicle",10,-75.168199,40.069318
2,"1","2012-07-31 17:09:00",201202052136,"1400 BLOCK ELBRIDGE ST",1400,"Vandalism/Criminal Mischief",2,-75.075125,40.039086
35,"1","2010-12-14 10:04:00",201035099121,"100 BLOCK W GODFREY AVE",700,"Recovered Stolen Motor Vehicle",20,-75.123412,40.044939
22,"B","2007-09-02 21:40:00",200722051815,"2300 BLOCK N PARK AVE",2400,"Disorderly Conduct",16,-75.154608,39.987765
19,"2","2016-08-29 23:57:00",201619079339,"6200 BLOCK HAVERFORD AVE",200,"Rape",15,-75.243581,39.971663
24,"1","2014-07-02 09:52:00",201424056082,"3900 BLOCK DUNGAN ST",1700,"Other Sex Offenses (Not Commercialized)",17,-75.102197,40.006662
2,"A","2008-07-22 10:49:00",200802049864,"2300 BLOCK COTTMAN AVE",600,"Thefts",2,-75.058382,40.046868
2,"J","2006-07-30 10:58:00",200602049856,"7000 BLOCK RISING SUN AV",1400,"Vandalism/Criminal Mischief",2,-75.088065,40.057369
15,"1","2016-03-06 18:11:00",201615020008,"4700 BLOCK LEIPER ST",2100,"DRIVING UNDER THE INFLUENCE",11,-75.085961,40.01837
39,"T","2008-05-29 06:26:00",200839036382,"5200 BLOCK MARION ST",1100,"Fraud",21,-75.170376,40.029427
24,"2","2016-01-28 03:03:00",201624008219,"1800 BLOCK E CAMBRIA ST",2100,"DRIVING UNDER THE INFLUENCE",17,-75.120345,39.992646
3,"E","2006-04-13 23:32:00",200603012709,"300 BLOCK SOUTH ST",2600,"All Other Offenses",3,-75.149078,39.941659
12,"4","2012-07-09 16:55:00",201212050757,"5500 BLOCK ANGORA TER",2600,"All Other Offenses",9,-75.234715,39.946434
35,"1","2012-05-31 01:21:00",201235042177,"300 BLOCK E CHAMPLOST AVE",800,"Other Assaults",20,-75.116842,40.040982
4,"2","2010-01-04 17:17:00",201004000445,"2000 BLOCK S 4TH ST",1800,"Narcotic / Drug Law Violations",3,-75.153322,39.923224
19,"J","2006-06-05 02:23:00",200619043047,"600 BLOCK N 63RD ST",600,"Thefts",15,-75.245161,39.973605
14,"1","2012-08-29 09:31:00",201214065711,"1500 BLOCK E WALNUT LA",1100,"Fraud",10,-75.158408,40.059127
25,"3","2009-11-09 17:16:00",200925116913,"N REESE ST / W LEHIGH AVE",600,"Thefts",19,-75.140866,39.992183
25,"F","2006-02-18 00:50:00",200625017819,"4700 BLOCK BINGHAM ST",1400,"Vandalism/Criminal Mischief",18,-75.116171,40.02074
15,"1","2014-05-06 08:10:00",201415037129,"1200 BLOCK FILLMORE ST",700,"Recovered Stolen Motor Vehicle",11,-75.087614,40.02148
22,"O","2008-12-23 10:43:00",200822088349,"2900 BLOCK W NORRIS ST",1400,"Vandalism/Criminal Mischief",16,-75.181554,39.986435
2,"S","2009-08-06 21:48:00",200902052284,"5900 BLOCK E ROOSEVELT BLVD",300,"Robbery Firearm",2,-75.081321,40.032912
16,"P","2006-07-14 16:15:00",200616032864,"4600 BLOCK MARKET ST",1400,"Vandalism/Criminal Mischief",12,-75.213512,39.958631
35,"2","2012-02-14 04:45:00",201235011873,"1600 BLOCK W WYOMING AVE",500,"Burglary Residential",20,-75.153273,40.025856
14,"4","2010-08-26 10:09:00",201014063025,"8000 BLOCK SAINT MARTINS LA",1400,"Vandalism/Criminal Mischief",10,-75.206433,40.065603
2,"2","2011-02-24 10:50:00",201102011348,"400 BLOCK E GODFREY AVE",500,"Burglary Residential",2,-75.107035,40.041557
6,"M","2007-05-31 12:26:00",200706032326,"400 BLOCK WOOD ST",700,"Motor Vehicle Theft",5,-75.145955,39.956547
7,"3","2015-02-22 23:15:00",201507005102,"13300 BLOCK HOWARD ARTHUR DR",2600,"All Other Offenses",6,-75.023238,40.130261
2,"1","2010-07-15 10:57:00",201002048313,"6700 BLOCK FRONTENAC ST",1400,"Vandalism/Criminal Mischief",2,-75.077432,40.045193
24,"I","2007-01-11 14:38:00",200724003121,"2400 BLOCK CASTOR AVE",700,"Motor Vehicle Theft",17,-75.093754,39.993812
8,"3","2013-11-22 14:11:00",201308046819,"11900 BLOCK ACADEMY RD 1",800,"Other Assaults",7,-74.981855,40.092103
15,"S","2007-05-11 16:04:00",200715049603,"3200 BLOCK RYAN AV",2600,"All Other Offenses",11,-75.044345,40.041968
16,"1","2013-09-08 09:50:00",201316035254,"3800 BLOCK POPLAR ST",1400,"Vandalism/Criminal Mischief",12,-75.200283,39.973171
26,"C","2008-10-04 23:36:00",200826065442,"800 BLOCK ALMOND ST",800,"Other Assaults",19,-75.125337,39.974562
7,"3","2009-12-22 15:15:00",200907049632,"1200 BLOCK KONRAD PL",700,"Recovered Stolen Motor Vehicle",6,-75.02154,40.103741
15,"3","2014-11-20 10:02:00",201415110663,"3400 BLOCK ASHVILLE ST",500,"Burglary Residential",11,-75.032034,40.043009
26,"T","2008-04-11 20:05:00",200826022621,"2200 BLOCK N HANCOCK ST",1800,"Narcotic / Drug Law Violations",19,-75.135497,39.983621
8,"G","2006-02-26 19:05:00",200608008973,"3700 BLOCK PEARSON AV",600,"Theft from Vehicle",7,-75.003978,40.059952
6,"3","2012-09-30 17:54:00",201206048669,"1300 BLOCK MARKET ST",600,"Thefts",5,-75.161485,39.952073
3,"2","2013-07-04 14:08:00",201303041121,"1800 BLOCK S CHRISTOPHER COLUMBUS BLVD H",600,"Thefts",3,-75.143041,39.923231
15,"1","2013-10-05 22:11:00",201315096005,"4600 BLOCK FRANKFORD AVE",300,"Robbery Firearm",11,-75.08554,40.014849
8,"3","2013-11-26 12:13:00",201308047372,"12700 BLOCK VERDA DR",2600,"All Other Offenses",7,-74.964333,40.093299
14,"C","2009-08-14 21:31:00",200914062352,"1500 BLOCK BEVERLY RD",400,"Aggravated Assault No Firearm",10,-75.160279,40.058404
4,"A","2008-06-14 16:51:00",200804026243,"100 BLOCK TREE ST",1400,"Vandalism/Criminal Mischief",3,-75.150245,39.920119
25,"H","2007-01-17 21:35:00",200725006284,"W LIPPINCOTT ST /N MASCHER ST",1100,"Fraud",18,-75.131456,39.997884
26,"3","2012-04-20 20:19:00",201226020653,"2600 BLOCK JASPER ST",800,"Other Assaults",19,-75.124986,39.988453
12,"2","2014-06-17 09:01:00",201412044009,"6000 BLOCK REGENT ST",800,"Other Assaults",9,-75.231968,39.932612
14,"1","2012-07-15 14:54:00",201214053974,"1300 BLOCK E WASHINGTON LA N",300,"Robbery No Firearm",10,-75.165935,40.057875
15,"1","2015-07-08 00:39:00",201515065932,"4100 BLOCK FRANKFORD AVE",300,"Robbery Firearm",11,-75.091014,40.007405
18,"G","2008-12-12 00:12:00",200818088079,"S 46TH ST / KINGSESSING AVE",2100,"DRIVING UNDER THE INFLUENCE",14,-75.211403,39.945812
6,"I","2007-07-12 10:46:00",200706041786,"1000 BLOCK MARKET ST",600,"Thefts",5,-75.157484,39.951576
22,"3","2013-10-11 14:22:00",201322083437,"1700 BLOCK N 18TH ST",600,"Theft from Vehicle",16,-75.164318,39.97958
24,"3","2016-06-06 23:56:00",201624055352,"3098\2 ARAMINGO AVE",1400,"Vandalism/Criminal Mischief",NA,NA,NA
6,"1","2015-08-30 00:06:00",201506041089,"600 BLOCK N FRONT ST",2600,"All Other Offenses",5,-75.138911,39.960464
15,"H","2006-12-12 19:58:00",200615137188,"4900 BLOCK DARRAH ST",1100,"Fraud",11,-75.080203,40.018486
6,"H","2007-10-08 15:54:00",200706060925,"600 BLOCK MARKET ST",600,"Thefts",5,-75.151009,39.950779
25,"F","2007-01-09 08:41:00",200725002905,"5000 BLOCK BOUDINOT ST",600,"Theft from Vehicle",18,-75.116579,40.02508
15,"3","2011-05-13 22:25:00",201115047532,"4700 BLOCK LORING ST",400,"Aggravated Assault No Firearm",11,-75.031445,40.031294
19,"A","2006-08-15 21:24:00",200619062472,"7600 BLOCK BRENTWOOD RD",700,"Recovered Stolen Motor Vehicle",15,-75.271041,39.975276
19,"3","2012-07-26 18:28:00",201219060972,"3700 BLOCK LANKENAU RD",2600,"All Other Offenses",15,-75.205528,40.002298
12,"4","2013-02-26 22:59:00",201312012989,"5400 BLOCK WILLOWS AVE",300,"Robbery Firearm",9,-75.228191,39.944083
6,"2","2016-09-02 00:11:00",201606038689,"N 11TH ST / FILBERT ST",2600,"All Other Offenses",5,-75.15808,39.952764
8,"I","2006-11-14 21:08:00",200608051159,"3200 BLOCK RED LION RD",600,"Thefts",7,-74.993172,40.080622
2,"3","2014-11-05 21:18:00",201402068125,"2300 BLOCK COTTMAN AVE",600,"Thefts",2,-75.058382,40.046868
7,"2","2016-06-05 16:38:00",201607015956,"9800 BLOCK BUSTLETON AVE",800,"Other Assaults",6,-75.031124,40.093884
9,"1","2014-10-18 14:18:00",201409042178,"200 BLOCK S 21ST ST",600,"Thefts",8,-75.176096,39.948859
35,"3","2010-01-10 21:06:00",201035002792,"1700 BLOCK WAGNER AV",1400,"Vandalism/Criminal Mischief",20,-75.152019,40.028025
16,"2","2016-08-16 02:56:00",201616034393,"5100 BLOCK OGDEN ST",300,"Robbery Firearm",12,-75.223085,39.967284
12,"J","2006-01-30 17:27:00",200612008161,"2000 BLOCK S SALFORD ST",2600,"All Other Offenses",9,-75.229641,39.932924
2,"H","2008-04-30 21:13:00",200802028892,"2200 BLOCK COTTMAN AVE",800,"Other Assaults",2,-75.061367,40.048536
35,"C","2009-07-19 02:14:00",200935061040,"400 BLOCK 66TH AVE",800,"Other Assaults",20,-75.125335,40.051457
14,"1","2015-05-04 19:38:00",201514034404,"7200 BLOCK OGONTZ AVE",1400,"Vandalism/Criminal Mischief",10,-75.153653,40.06432
24,"1","2015-06-23 12:07:00",201524058113,"2000 BLOCK CLARENCE ST",700,"Recovered Stolen Motor Vehicle",17,-75.102271,39.996371
16,"2","2013-12-03 22:30:00",201316047270,"4000 BLOCK FAIRMOUNT AVE",1600,"Prostitution and Commercialized Vice",12,-75.202652,39.965135
6,"3","2011-11-22 18:29:00",201106060039,"1200 BLOCK WALNUT ST",600,"Thefts",5,-75.160851,39.948886
17,"3","2010-02-17 23:13:00",201017009599,"1300 BLOCK S 16TH ST",2600,"All Other Offenses",13,-75.170892,39.934535
26,"1","2011-09-22 17:08:00",201126052549,"2100 BLOCK N 7TH ST",2600,"All Other Offenses",19,-75.145585,39.983875
12,"2","2013-08-28 19:28:00",201312060747,"7300 BLOCK ELMWOOD AV",600,"Thefts",9,-75.242751,39.91352
12,"2","2013-01-12 23:15:00",201312002759,"S 59TH ST / CHESTER AVE",2100,"DRIVING UNDER THE INFLUENCE",9,-75.229907,39.934774
39,"C","2008-02-22 15:06:00",200839011587,"3200 BLOCK N BROAD ST",600,"Thefts",21,-75.152618,40.003151
35,"3","2011-07-27 09:02:00",201135055338,"1500 BLOCK W DUNCANNON AVE",600,"Theft from Vehicle",20,-75.148939,40.032496
17,"2","2015-09-04 11:33:00",201517043712,"2700 BLOCK TITAN ST",400,"Aggravated Assault No Firearm",13,-75.188967,39.937254
7,"1","2013-03-25 03:50:00",201307009461,"1900 BLOCK RHAWN ST",600,"Theft from Vehicle",6,-75.057619,40.062801
26,"1","2011-07-27 23:14:00",201126041355,"W LEHIGH AV  / MASCHER ST",300,"Robbery Firearm",19,-75.132895,39.991153
15,"3","2012-06-26 02:04:00",201215060451,"7700 BLOCK FRANKFORD AV",2600,"All Other Offenses",11,-75.032611,40.039829
8,"1","2015-01-26 16:57:00",201508003533,"8300 BLOCK FRANKFORD AVE",800,"Other Assaults",7,-75.019537,40.043586
1,"C","2006-04-28 22:53:00",200601014998,"2300 BLOCK MIFFLIN ST",800,"Other Assaults",1,-75.183909,39.928682
16,"2","2011-07-09 20:36:00",201116030486,"100 BLOCK N 49TH ST",2100,"DRIVING UNDER THE INFLUENCE",12,-75.219501,39.960985
2,"3","2015-02-23 17:40:00",201502011128,"2100 BLOCK SAINT VINCENT ST",1800,"Narcotic / Drug Law Violations",2,-75.060086,40.044974
24,"2","2009-06-12 16:20:00",200924051493,"3000 BLOCK N SWANSON ST",600,"Theft from Vehicle",17,-75.128472,39.995625
24,"P","2007-01-01 19:04:00",200724000225,"3000 BLOCK ARBOR ST",1400,"Vandalism/Criminal Mischief",17,-75.123354,39.995015
2,"O","2009-05-31 11:17:00",200902036018,"600 BLOCK DEVEREAUX AV",600,"Theft from Vehicle",2,-75.09547,40.045681
19,"2","2016-04-28 03:22:00",201619037606,"5700 BLOCK MASTER ST",600,"Thefts",15,-75.234751,39.97328
16,"1","2010-01-19 10:37:00",201016003460,"0 BLOCK N 39TH ST",800,"Other Assaults",12,-75.199497,39.957217
6,"3","2015-01-13 21:08:00",201506001795,"1300 BLOCK WALNUT ST",2600,"All Other Offenses",5,-75.162769,39.949127
25,"2","2013-01-23 21:39:00",201325006287,"4100 BLOCK N FRANKLIN ST",2600,"All Other Offenses",18,-75.139854,40.01407
35,"2","2013-08-10 01:52:00",201335060247,"5400 BLOCK RISING SUN AVE",400,"Aggravated Assault Firearm",20,-75.116157,40.03304
19,"1","2009-09-24 09:48:00",200919087404,"6500 BLOCK RACE ST",700,"Motor Vehicle Theft",15,-75.250159,39.966264
25,"K","2009-10-04 18:21:00",200925104604,"3200 BLOCK N 5TH ST",2600,"All Other Offenses",18,-75.138393,40.000614
15,"1","2013-11-29 06:34:00",201315113977,"1600 BLOCK SELLERS ST",600,"Theft from Vehicle",11,-75.08629,40.013896
3,"1","2016-03-15 06:51:00",201603013804,"700 BLOCK S 04TH ST",300,"Robbery Firearm",3,-75.149473,39.940549
14,"2","2012-08-15 18:06:00",201214062174,"300 BLOCK SHEDAKER ST",400,"Aggravated Assault No Firearm",10,-75.158536,40.032347
12,"2","2014-09-16 21:03:00",201412070471,"6500 BLOCK UPLAND ST",700,"Recovered Stolen Motor Vehicle",9,-75.236275,39.927168
19,"2","2016-10-13 21:44:00",201619093439,"500 BLOCK N VOGDES ST",800,"Other Assaults",15,-75.230834,39.967838
14,"3","2013-03-13 20:22:00",201314017974,"6300 BLOCK GERMANTOWN AVE",2600,"All Other Offenses",10,-75.181749,40.044808
24,"1","2012-12-26 23:21:00",201224112980,"900 BLOCK E LYCOMING ST",2600,"All Other Offenses",17,-75.110276,40.010169
12,"H","2009-01-26 19:14:00",200912008059,"6700 BLOCK PASCHALL AVE",400,"Aggravated Assault Firearm",9,-75.235664,39.922727
8,"E","2007-11-15 19:28:00",200708052475,"8700 BLOCK CRISPIN ST",600,"Theft from Vehicle",7,-75.015259,40.050261
18,"1","2015-03-05 18:01:00",201518013669,"5800 BLOCK OSAGE AVE",2600,"All Other Offenses",14,-75.240186,39.954768
12,"3","2010-04-10 09:38:00",201012032977,"5700 BLOCK ELMWOOD AVE",1400,"Vandalism/Criminal Mischief",9,-75.219698,39.929741
26,"3","2015-05-05 19:52:00",201526022051,"2500 BLOCK E LEHIGH AVE",2100,"DRIVING UNDER THE INFLUENCE",19,-75.116601,39.980577
9,"J","2007-11-01 06:07:00",200709054430,"400 BLOCK N 21ST ST",2600,"All Other Offenses",8,-75.173317,39.961695
19,"2","2011-08-20 22:11:00",201119074653,"5000 BLOCK W THOMPSON ST",2600,"All Other Offenses",15,-75.222838,39.973277
35,"B","2007-09-10 19:02:00",200735081239,"400 BLOCK W FERN ST",1800,"Narcotic / Drug Law Violations",20,-75.127157,40.043309
14,"1","2016-06-22 23:02:00",201614050479,"2100 BLOCK 72ND AV",2600,"All Other Offenses",10,-75.152295,40.064265
19,"2","2009-09-18 23:10:00",200919085783,"5400 BLOCK ARLINGTON",1500,"Weapon Violations",15,-75.232203,39.98658
25,"K","2006-05-04 22:40:00",200625046916,"800 BLOCK W SCHILLER ST",300,"Robbery Firearm",18,-75.14255,40.00459
12,"Q","2007-10-14 20:12:00",200712090351,"5300 BLOCK CHESTER AV",600,"Theft from Vehicle",9,-75.222753,39.939861
2,"1","2014-05-09 19:13:00",201402027193,"900 BLOCK BRIDGE ST",1400,"Vandalism/Criminal Mischief",2,-75.091177,40.03185
2,"K","2008-09-19 15:07:00",200802063885,"6300 BLOCK FRONTENAC ST",800,"Other Assaults",2,-75.082055,40.04015
22,"K","2009-05-12 19:50:00",200922030249,"N 25TH ST / W YORK ST",2600,"All Other Offenses",16,-75.173353,39.991672
3,"3","2014-08-14 23:30:00",201403047627,"600 BLOCK MC CLELLAN ST",500,"Burglary Residential",3,-75.157364,39.926048
24,"1","2014-06-08 18:00:00",201424048068,"3900 BLOCK CASTOR AVE",300,"Robbery No Firearm",17,-75.09908,40.00581
22,"1","2015-06-08 21:34:00",201522051899,"1100 BLOCK W COLONA ST",2600,"All Other Offenses",16,-75.150834,39.986195
12,"D","2008-10-06 21:33:00",200812089098,"7700 BLOCK LINDBERGH BLVD",1400,"Vandalism/Criminal Mischief",9,-75.241939,39.903989
14,"2","2016-10-17 12:48:00",201614083953,"6500 BLOCK MAGNOLIA ST",700,"Recovered Stolen Motor Vehicle",10,-75.181458,40.050225
6,"I","2007-10-30 11:53:00",200706065525,"900 BLOCK MARKET ST",1500,"Weapon Violations",5,-75.155198,39.951374
25,"3","2010-12-09 16:51:00",201025114335,"2900 BLOCK WATERLOO ST",1800,"Narcotic / Drug Law Violations",18,-75.131666,39.994876
18,"U","2008-10-07 18:24:00",200818072469,"6200 BLOCK CARPENTER ST",500,"Burglary Residential",14,-75.249477,39.949353
25,"D","2007-05-16 21:13:00",200725050763,"3400 BLOCK F ST",800,"Other Assaults",18,-75.116623,40.000325
8,"3","2016-10-08 17:40:00",201608037854,"400 BLOCK FRANKLIN MILLS CIR",600,"Thefts",7,-74.964509,40.084825
39,"3","2015-03-23 00:11:00",201539021895,"2800 BLOCK N 22ND ST",2600,"All Other Offenses",21,-75.167261,39.99725
2,"F","2009-02-18 16:07:00",200902010750,"7300 BLOCK HASBROOK AVE",800,"Other Assaults",2,-75.088252,40.064793
35,"3","2014-09-24 18:01:00",201435078610,"5600 BLOCK N BROAD ST",1100,"Fraud",20,-75.144784,40.039101
12,"1","2015-06-01 23:42:00",201512042634,"8400 BLOCK MARIO LANZA BLVD",1400,"Vandalism/Criminal Mischief",9,-75.244662,39.892474
26,"3","2013-09-04 23:22:00",201326044612,"1000 BLOCK E.EARL ST",500,"Burglary Residential",19,-75.128373,39.969254
19,"C","2007-10-01 14:30:00",200719066405,"6000 BLOCK DREXEL RD",800,"Other Assaults",15,-75.248939,39.989797
25,"2","2010-12-03 16:52:00",201025112482,"100 BLOCK W LUZERNE ST",800,"Other Assaults",18,-75.130461,40.01136
35,"2","2013-04-08 19:04:00",201335024835,"5300 BLOCK N CAMAC ST",700,"Recovered Stolen Motor Vehicle",20,-75.142914,40.033559
25,"L","2007-01-06 00:53:00",200725001942,"N 5TH ST /W ANNSBURY ST",300,"Robbery No Firearm",18,-75.134018,40.020382
16,"2","2012-09-24 19:39:00",201216041102,"800 BLOCK BUDD ST",500,"Burglary Residential",12,-75.205165,39.969342
15,"1","2010-09-16 22:58:00",201015100280,"4700 BLOCK OXFORD AV",2600,"All Other Offenses",11,-75.083729,40.016785
39,"L","2009-05-07 13:02:00",200939028911,"2600 BLOCK W HUNTING PARK AVE",1500,"Weapon Violations",21,-75.172263,40.00785
14,"1","2015-01-14 12:56:00",201514003027,"2100 BLOCK HAINES ST",400,"Aggravated Assault No Firearm",10,-75.15694,40.056622
35,"1","2010-08-27 03:52:00",201035068747,"6100 BLOCK N 11TH ST",2600,"All Other Offenses",20,-75.137913,40.045302
19,"2","2010-02-20 22:41:00",201019014812,"5700 BLOCK HADDINGTON LA",1400,"Vandalism/Criminal Mischief",15,-75.235732,39.97813
22,"J","2007-03-08 22:17:00",200722013759,"N 23RD ST /W NORRIS ST",800,"Other Assaults",16,-75.171514,39.9851
17,"2","2010-09-19 19:07:00",201017053217,"1500 BLOCK S NAPA ST",800,"Other Assaults",13,-75.196278,39.934885
22,"4","2016-09-16 03:01:00",201622076370,"1700 BLOCK N 32ND ST",800,"Other Assaults",16,-75.18636,39.983746
14,"1","2010-11-07 07:08:00",201014082137,"1600 BLOCK CARDEZA ST",600,"Theft from Vehicle",10,-75.167386,40.063754
5,"H","2007-07-24 11:28:00",200705018273,"WRIGHT ST  / CANTON ST",1400,"Vandalism/Criminal Mischief",4,-75.231718,40.031141
23,"A","2007-05-12 07:55:00",200723018966,"1100 BLOCK W THOMPSON ST",1400,"Vandalism/Criminal Mischief",16,-75.154161,39.972541
18,"2","2015-04-27 20:11:00",201518026058,"5500 BLOCK OSAGE AVE",800,"Other Assaults",14,-75.233179,39.9539
2,"M","2007-05-13 18:19:00",200702031506,"500 BLOCK MC KINLEY ST",2600,"All Other Offenses",2,-75.095577,40.046607
22,"1","2011-01-25 17:45:00",201122006947,"2000 BLOCK N 16TH ST",600,"Thefts",16,-75.159906,39.984493
19,"J","2009-08-07 13:17:00",200919072279,"N 60TH ST / W THOMPSON ST",2100,"DRIVING UNDER THE INFLUENCE",15,-75.239404,39.971505
9,"J","2006-04-04 10:30:00",200609016076,"N 16TH ST /BRANDYWINE ST",600,"Theft from Vehicle",8,-75.164514,39.963552
9,"O","2006-08-02 22:17:00",200609039180,"800 BLOCK N 24TH ST",300,"Robbery No Firearm",8,-75.176485,39.970068
14,"1","2009-11-16 11:37:00",200914088129,"6900 BLOCK OGONTZ AV",1400,"Vandalism/Criminal Mischief",10,-75.150158,40.059978
15,"3","2013-04-24 09:16:00",201315037244,"3200 BLOCK ENGLEWOOD ST",600,"Theft from Vehicle",11,-75.046703,40.039214
15,"G","2007-07-23 19:01:00",200715079930,"5100 BLOCK AKRON ST",500,"Burglary Residential",11,-75.082122,40.024456
12,"4","2013-07-26 21:22:00",201312052344,"5200 BLOCK CHESTER AV",2600,"All Other Offenses",9,-75.220156,39.941571
14,"N","2007-09-14 12:01:00",200714069968,"6300 BLOCK STENTON AVE",300,"Robbery No Firearm",10,-75.165261,40.059378
14,"2","2015-01-21 17:58:00",201514004793,"0 BLOCK E COULTER ST 1",800,"Other Assaults",10,-75.16909,40.034704
24,"1","2015-01-27 01:48:00",201524007797,"3200 BLOCK JOYCE ST",400,"Aggravated Assault Firearm",17,-75.10854,39.994463
25,"4","2015-09-22 11:17:00",201525078684,"2900 BLOCK N 05TH ST",1400,"Vandalism/Criminal Mischief",18,-75.139567,39.995226
35,"H","2007-05-11 18:37:00",200735039879,"4700 BLOCK N CAMAC ST",800,"Other Assaults",20,-75.144662,40.025126
19,"2","2015-02-23 17:47:00",201519017022,"5200 BLOCK MARKET ST",2600,"All Other Offenses",15,-75.224902,39.960061
35,"G","2006-05-12 02:06:00",200635039397,"1700 BLOCK W WINGOHOCKING ST",2600,"All Other Offenses",20,-75.153365,40.022141
15,"3","2013-06-28 19:08:00",201315060441,"1600 BLOCK BRIDGE ST",600,"Thefts",11,-75.076588,40.023094
